Draw,Date,Pick3,Pick4,Pick5
0,2019-01-01,444,4225,89512
1,2019-01-01,485,2838,83630
0,2019-01-02,103,7637,93755
1,2019-01-02,485,497,55918
0,2019-01-03,309,4961,99736
1,2019-01-03,644,787,69885
0,2019-01-04,178,7193,18027
1,2019-01-04,188,431,9400
0,2019-01-05,922,5065,14227
1,2019-01-05,728,3400,20552
0,2019-01-06,862,7551,86141
1,2019-01-06,916,3893,81448
0,2019-01-07,952,4910,41739
1,2019-01-07,312,2311,67443
0,2019-01-08,401,9501,97480
1,2019-01-08,844,1375,26773
0,2019-01-09,64,2889,79975
1,2019-01-09,451,4979,23238
0,2019-01-10,48,8276,36431
1,2019-01-10,94,1856,19577
0,2019-01-11,61,4513,90797
1,2019-01-11,305,6717,15191
0,2019-01-12,374,5906,89686
1,2019-01-12,940,1759,54004
0,2019-01-13,827,6028,9813
1,2019-01-13,109,1494,29604
0,2019-01-14,220,2212,89858
1,2019-01-14,650,1108,59759
0,2019-01-15,906,7739,93153
1,2019-01-15,389,3255,63612
0,2019-01-16,793,3228,23402
1,2019-01-16,560,7709,44346
0,2019-01-17,202,2014,76002
1,2019-01-17,809,1146,54462
0,2019-01-18,693,4072,2673
1,2019-01-18,123,6016,47041
0,2019-01-19,858,9615,9290
1,2019-01-19,752,2158,62651
0,2019-01-20,79,6708,6801
1,2019-01-20,646,2736,81233
0,2019-01-21,925,3166,50160
1,2019-01-21,303,2489,72079
0,2019-01-22,725,1377,61470
1,2019-01-22,493,2194,69462
0,2019-01-23,343,9004,73557
1,2019-01-23,541,5083,34251
0,2019-01-24,44,6423,70035
1,2019-01-24,136,4012,10224
0,2019-01-25,58,679,87898
1,2019-01-25,218,1582,63760
0,2019-01-26,539,7587,95582
1,2019-01-26,42,8884,32817
0,2019-01-27,920,5445,36214
1,2019-01-27,440,8230,85126
0,2019-01-28,64,8080,47727
1,2019-01-28,66,4745,52966
0,2019-01-29,335,1644,2697
1,2019-01-29,67,6030,99506
0,2019-01-30,813,6288,13750
1,2019-01-30,691,8264,87326
0,2019-01-31,568,6636,42573
1,2019-01-31,766,2351,71224
0,2019-02-01,873,4442,55152
1,2019-02-01,780,4154,24705
0,2019-02-02,383,9780,58244
1,2019-02-02,288,9819,36205
0,2019-02-03,391,4136,69322
1,2019-02-03,45,955,85444
0,2019-02-04,891,2287,24528
1,2019-02-04,240,4047,58964
0,2019-02-05,794,497,66887
1,2019-02-05,874,4828,35882
0,2019-02-06,250,2484,2642
1,2019-02-06,961,2482,37079
0,2019-02-07,770,8240,16442
1,2019-02-07,618,147,61070
