Draw,Date,Pick3,Date_Delta
0,2019-01-01,444,2922.0
1,2019-01-01,485,2922.0
0,2019-01-02,103,2923.0
1,2019-01-02,485,2923.0
0,2019-01-03,309,2924.0
1,2019-01-03,644,2924.0
0,2019-01-04,178,2925.0
1,2019-01-04,188,2925.0
0,2019-01-05,922,2926.0
1,2019-01-05,728,2926.0
0,2019-01-06,862,2927.0
1,2019-01-06,916,2927.0
0,2019-01-07,952,2928.0
1,2019-01-07,312,2928.0
0,2019-01-08,401,2929.0
1,2019-01-08,844,2929.0
0,2019-01-09,64,2930.0
1,2019-01-09,451,2930.0
0,2019-01-10,48,2931.0
1,2019-01-10,94,2931.0
0,2019-01-11,61,2932.0
1,2019-01-11,305,2932.0
0,2019-01-12,374,2933.0
1,2019-01-12,940,2933.0
0,2019-01-13,827,2934.0
1,2019-01-13,109,2934.0
0,2019-01-14,220,2935.0
1,2019-01-14,650,2935.0
0,2019-01-15,906,2936.0
1,2019-01-15,389,2936.0
0,2019-01-16,793,2937.0
1,2019-01-16,560,2937.0
0,2019-01-17,202,2938.0
1,2019-01-17,809,2938.0
0,2019-01-18,693,2939.0
1,2019-01-18,123,2939.0
0,2019-01-19,858,2940.0
1,2019-01-19,752,2940.0
0,2019-01-20,79,2941.0
1,2019-01-20,646,2941.0
0,2019-01-21,925,2942.0
1,2019-01-21,303,2942.0
0,2019-01-22,725,2943.0
1,2019-01-22,493,2943.0
0,2019-01-23,343,2944.0
1,2019-01-23,541,2944.0
0,2019-01-24,44,2945.0
1,2019-01-24,136,2945.0
0,2019-01-25,58,2946.0
1,2019-01-25,218,2946.0
0,2019-01-26,539,2947.0
1,2019-01-26,42,2947.0
0,2019-01-27,920,2948.0
1,2019-01-27,440,2948.0
0,2019-01-28,64,2949.0
1,2019-01-28,66,2949.0
0,2019-01-29,335,2950.0
1,2019-01-29,67,2950.0
0,2019-01-30,813,2951.0
1,2019-01-30,691,2951.0
0,2019-01-31,568,2952.0
1,2019-01-31,766,2952.0
0,2019-02-01,873,2953.0
1,2019-02-01,780,2953.0
0,2019-02-02,383,2954.0
1,2019-02-02,288,2954.0
0,2019-02-03,391,2955.0
1,2019-02-03,45,2955.0
0,2019-02-04,891,2956.0
1,2019-02-04,240,2956.0
0,2019-02-05,794,2957.0
1,2019-02-05,874,2957.0
0,2019-02-06,250,2958.0
1,2019-02-06,961,2958.0
0,2019-02-07,770,2959.0
1,2019-02-07,618,2959.0
0,2019-02-08,283,2960.0
1,2019-02-08,562,2960.0
0,2019-02-09,378,2961.0
1,2019-02-09,291,2961.0
0,2019-02-10,703,2962.0
1,2019-02-10,533,2962.0
0,2019-02-11,696,2963.0
1,2019-02-11,108,2963.0
0,2019-02-12,491,2964.0
1,2019-02-12,62,2964.0
0,2019-02-13,854,2965.0
1,2019-02-13,134,2965.0
0,2019-02-14,170,2966.0
1,2019-02-14,963,2966.0
0,2019-02-15,778,2967.0
1,2019-02-15,499,2967.0
0,2019-02-16,651,2968.0
1,2019-02-16,301,2968.0
0,2019-02-17,252,2969.0
1,2019-02-17,40,2969.0
0,2019-02-18,840,2970.0
1,2019-02-18,581,2970.0
0,2019-02-19,768,2971.0
1,2019-02-19,193,2971.0
0,2019-02-20,689,2972.0
1,2019-02-20,568,2972.0
0,2019-02-21,924,2973.0
1,2019-02-21,155,2973.0
0,2019-02-22,885,2974.0
1,2019-02-22,507,2974.0
0,2019-02-23,582,2975.0
1,2019-02-23,853,2975.0
0,2019-02-24,363,2976.0
1,2019-02-24,27,2976.0
0,2019-02-25,419,2977.0
1,2019-02-25,821,2977.0
0,2019-02-26,591,2978.0
1,2019-02-26,603,2978.0
0,2019-02-27,48,2979.0
1,2019-02-27,691,2979.0
0,2019-02-28,414,2980.0
1,2019-02-28,274,2980.0
0,2019-03-01,250,2981.0
1,2019-03-01,11,2981.0
0,2019-03-02,555,2982.0
1,2019-03-02,755,2982.0
0,2019-03-03,471,2983.0
1,2019-03-03,205,2983.0
0,2019-03-04,252,2984.0
1,2019-03-04,980,2984.0
0,2019-03-05,202,2985.0
1,2019-03-05,335,2985.0
0,2019-03-06,289,2986.0
1,2019-03-06,289,2986.0
0,2019-03-07,378,2987.0
1,2019-03-07,221,2987.0
0,2019-03-08,401,2988.0
1,2019-03-08,715,2988.0
0,2019-03-09,989,2989.0
1,2019-03-09,103,2989.0
0,2019-03-10,193,2990.0
1,2019-03-10,312,2990.0
0,2019-03-11,741,2991.0
1,2019-03-11,439,2991.0
0,2019-03-12,112,2992.0
1,2019-03-12,570,2992.0
0,2019-03-13,525,2993.0
1,2019-03-13,520,2993.0
0,2019-03-14,119,2994.0
1,2019-03-14,830,2994.0
0,2019-03-15,899,2995.0
1,2019-03-15,736,2995.0
0,2019-03-16,48,2996.0
1,2019-03-16,276,2996.0
0,2019-03-17,225,2997.0
1,2019-03-17,747,2997.0
0,2019-03-18,771,2998.0
1,2019-03-18,866,2998.0
0,2019-03-19,594,2999.0
1,2019-03-19,714,2999.0
0,2019-03-20,347,3000.0
1,2019-03-20,448,3000.0
0,2019-03-21,205,3001.0
1,2019-03-21,747,3001.0
0,2019-03-22,116,3002.0
1,2019-03-22,39,3002.0
0,2019-03-23,366,3003.0
1,2019-03-23,637,3003.0
0,2019-03-24,988,3004.0
1,2019-03-24,748,3004.0
0,2019-03-25,592,3005.0
1,2019-03-25,531,3005.0
0,2019-03-26,884,3006.0
1,2019-03-26,81,3006.0
0,2019-03-27,888,3007.0
1,2019-03-27,57,3007.0
0,2019-03-28,493,3008.0
1,2019-03-28,113,3008.0
0,2019-03-29,809,3009.0
1,2019-03-29,207,3009.0
0,2019-03-30,283,3010.0
1,2019-03-30,574,3010.0
0,2019-03-31,397,3011.0
1,2019-03-31,190,3011.0
0,2019-04-01,575,3012.0
1,2019-04-01,674,3012.0
0,2019-04-02,345,3013.0
1,2019-04-02,471,3013.0
0,2019-04-03,511,3014.0
1,2019-04-03,902,3014.0
0,2019-04-04,656,3015.0
1,2019-04-04,603,3015.0
0,2019-04-05,935,3016.0
1,2019-04-05,213,3016.0
0,2019-04-06,578,3017.0
1,2019-04-06,912,3017.0
0,2019-04-07,943,3018.0
1,2019-04-07,64,3018.0
0,2019-04-08,90,3019.0
1,2019-04-08,322,3019.0
0,2019-04-09,95,3020.0
1,2019-04-09,765,3020.0
0,2019-04-10,983,3021.0
1,2019-04-10,423,3021.0
0,2019-04-11,807,3022.0
1,2019-04-11,176,3022.0
0,2019-04-12,130,3023.0
1,2019-04-12,547,3023.0
0,2019-04-13,86,3024.0
1,2019-04-13,554,3024.0
0,2019-04-14,683,3025.0
1,2019-04-14,888,3025.0
0,2019-04-15,508,3026.0
1,2019-04-15,583,3026.0
0,2019-04-16,587,3027.0
1,2019-04-16,722,3027.0
0,2019-04-17,560,3028.0
1,2019-04-17,575,3028.0
0,2019-04-18,904,3029.0
1,2019-04-18,161,3029.0
0,2019-04-19,586,3030.0
1,2019-04-19,290,3030.0
0,2019-04-20,923,3031.0
1,2019-04-20,193,3031.0
0,2019-04-21,261,3032.0
1,2019-04-21,557,3032.0
0,2019-04-22,742,3033.0
1,2019-04-22,99,3033.0
0,2019-04-23,965,3034.0
1,2019-04-23,137,3034.0
0,2019-04-24,307,3035.0
1,2019-04-24,584,3035.0
0,2019-04-25,394,3036.0
1,2019-04-25,530,3036.0
0,2019-04-26,593,3037.0
1,2019-04-26,32,3037.0
0,2019-04-27,568,3038.0
1,2019-04-27,8,3038.0
0,2019-04-28,508,3039.0
1,2019-04-28,813,3039.0
0,2019-04-29,167,3040.0
1,2019-04-29,358,3040.0
0,2019-04-30,507,3041.0
1,2019-04-30,885,3041.0
0,2019-05-01,358,3042.0
1,2019-05-01,604,3042.0
0,2019-05-02,162,3043.0
1,2019-05-02,868,3043.0
0,2019-05-03,56,3044.0
1,2019-05-03,417,3044.0
0,2019-05-04,161,3045.0
1,2019-05-04,247,3045.0
0,2019-05-05,510,3046.0
1,2019-05-05,804,3046.0
0,2019-05-06,551,3047.0
1,2019-05-06,889,3047.0
0,2019-05-07,235,3048.0
1,2019-05-07,331,3048.0
0,2019-05-08,403,3049.0
1,2019-05-08,7,3049.0
0,2019-05-09,970,3050.0
1,2019-05-09,720,3050.0
0,2019-05-10,95,3051.0
1,2019-05-10,235,3051.0
0,2019-05-11,420,3052.0
1,2019-05-11,934,3052.0
0,2019-05-12,28,3053.0
1,2019-05-12,224,3053.0
0,2019-05-13,891,3054.0
1,2019-05-13,125,3054.0
0,2019-05-14,155,3055.0
1,2019-05-14,48,3055.0
0,2019-05-15,586,3056.0
1,2019-05-15,790,3056.0
0,2019-05-16,977,3057.0
1,2019-05-16,52,3057.0
0,2019-05-17,38,3058.0
1,2019-05-17,972,3058.0
0,2019-05-18,224,3059.0
1,2019-05-18,231,3059.0
0,2019-05-19,178,3060.0
1,2019-05-19,695,3060.0
0,2019-05-20,893,3061.0
1,2019-05-20,731,3061.0
0,2019-05-21,735,3062.0
1,2019-05-21,987,3062.0
0,2019-05-22,920,3063.0
1,2019-05-22,290,3063.0
0,2019-05-23,854,3064.0
1,2019-05-23,445,3064.0
0,2019-05-24,969,3065.0
1,2019-05-24,333,3065.0
0,2019-05-25,265,3066.0
1,2019-05-25,731,3066.0
0,2019-05-26,744,3067.0
1,2019-05-26,825,3067.0
0,2019-05-27,366,3068.0
1,2019-05-27,775,3068.0
0,2019-05-28,834,3069.0
1,2019-05-28,343,3069.0
0,2019-05-29,626,3070.0
1,2019-05-29,322,3070.0
0,2019-05-30,31,3071.0
1,2019-05-30,958,3071.0
0,2019-05-31,866,3072.0
1,2019-05-31,286,3072.0
0,2019-06-01,793,3073.0
1,2019-06-01,713,3073.0
0,2019-06-02,335,3074.0
1,2019-06-02,310,3074.0
0,2019-06-03,131,3075.0
1,2019-06-03,75,3075.0
0,2019-06-04,446,3076.0
1,2019-06-04,706,3076.0
0,2019-06-05,96,3077.0
1,2019-06-05,497,3077.0
0,2019-06-06,343,3078.0
1,2019-06-06,96,3078.0
0,2019-06-07,92,3079.0
1,2019-06-07,274,3079.0
0,2019-06-08,339,3080.0
1,2019-06-08,180,3080.0
0,2019-06-09,221,3081.0
1,2019-06-09,505,3081.0
0,2019-06-10,6,3082.0
1,2019-06-10,721,3082.0
0,2019-06-11,22,3083.0
1,2019-06-11,934,3083.0
0,2019-06-12,737,3084.0
1,2019-06-12,150,3084.0
0,2019-06-13,178,3085.0
1,2019-06-13,231,3085.0
0,2019-06-14,544,3086.0
1,2019-06-14,305,3086.0
0,2019-06-15,55,3087.0
1,2019-06-15,217,3087.0
0,2019-06-16,27,3088.0
1,2019-06-16,794,3088.0
0,2019-06-17,78,3089.0
1,2019-06-17,827,3089.0
0,2019-06-18,338,3090.0
1,2019-06-18,104,3090.0
0,2019-06-19,138,3091.0
1,2019-06-19,451,3091.0
0,2019-06-20,581,3092.0
1,2019-06-20,465,3092.0
0,2019-06-21,795,3093.0
1,2019-06-21,978,3093.0
0,2019-06-22,493,3094.0
1,2019-06-22,218,3094.0
0,2019-06-23,119,3095.0
1,2019-06-23,510,3095.0
0,2019-06-24,983,3096.0
1,2019-06-24,627,3096.0
0,2019-06-25,718,3097.0
1,2019-06-25,419,3097.0
0,2019-06-26,350,3098.0
1,2019-06-26,659,3098.0
0,2019-06-27,773,3099.0
1,2019-06-27,728,3099.0
0,2019-06-28,167,3100.0
