Draw,Date,Pick3,Pick4
0,20100101,391,2227
1,20100101,808,175
0,20100102,989,5164
1,20100102,137,9911
0,20100103,284,3159
1,20100103,290,7077
0,20100104,942,8206
1,20100104,809,9631
1,20100105,755,1640
0,20100105,278,7443
1,20100106,550,7863
1,20100106,226,6927
0,20100107,208,1985
1,20100107,456,4240
0,20100108,548,1095
1,20100108,295,4495
1,20100109,874,917
0,20100109,948,4143
1,20100110,976,4202
0,20100110,654,9178
0,20100111,379,8843
1,20100111,853,2722
0,20100112,384,3527
1,20100112,557,5900
1,20100113,686,1268
1,20100113,853,8817
0,20100114,824,9979
1,20100114,646,4702
1,20100115,48,8524
0,20100115,305,2328
0,20100116,436,5707
1,20100116,225,3505
0,20100117,500,6599
1,20100117,47,704
0,20100118,42,1476
1,20100118,809,2361
0,20100119,770,3080
1,20120101,441,7036
0,20120101,991,979
0,20120101,991,979
1,20120101,441,7036
1,20120102,629,452
0,20120102,516,1507
0,20120102,516,1507
1,20120102,629,452
1,20120103,212,9676
0,20120103,188,1857
0,20120103,188,1857
1,20120103,212,9676
1,20120104,349,4649
0,20120104,845,1985
0,20120104,845,1985
1,20120104,349,4649
1,20120105,444,9039
0,20120105,219,6062
1,20120105,444,9039
0,20120105,219,6062
1,20120106,13,7622
0,20120106,345,4654
0,20120106,345,4654
1,20120106,13,7622
1,20120107,346,753
1,20120107,346,753
0,20120107,519,7717
0,20120107,519,7717
1,20120108,938,3705
0,20120108,503,598
1,20120108,938,3705
0,20120108,503,598
0,20120109,10,3799
1,20120109,109,3606
0,20120109,10,3799
1,20120109,109,3606
1,20120110,123,8013
0,20120110,994,7084
1,20120110,123,8013
0,20120110,994,7084
1,20120111,875,4067
1,20120111,875,4067
0,20120111,514,6316
0,20120111,514,6316
0,20120112,275,6257
0,20120112,275,6257
1,20120112,609,7248
1,20120112,609,7248
1,20120113,562,369
1,20120113,562,369
0,20120113,526,6160
0,20120113,526,6160
0,20120114,292,6200
1,20120114,984,8361
0,20120114,292,6200
1,20120114,984,8361
1,20120115,945,7672
0,20120115,337,6777
1,20120115,945,7672
0,20120115,337,6777
0,20120116,309,1635
0,20120116,309,1635
1,20120116,622,6509
1,20120116,622,6509
1,20120117,176,7265
0,20120117,560,5259
0,20120117,560,5259
1,20120117,176,7265
1,20120118,126,3817
0,20120118,352,7655
1,20120118,126,3817
0,20120118,352,7655
0,20120119,697,4548
1,20120119,743,8346
1,20120119,743,8346
0,20120119,697,4548
1,20120120,588,8762
0,20120120,580,2067
1,20120120,588,8762
0,20120120,580,2067
0,20120121,293,2505
1,20120121,680,5329
1,20120121,680,5329
0,20120121,293,2505
0,20120122,126,9818
1,20120122,26,1385
0,20120122,126,9818
1,20120122,26,1385
0,20120123,485,4436
0,20120123,485,4436
1,20120123,904,4727
1,20120123,904,4727
0,20120124,576,5910
0,20120124,576,5910
1,20120124,12,4262
1,20120124,12,4262
0,20120125,881,3481
1,20120125,690,7140
0,20120125,881,3481
1,20120125,690,7140
1,20120126,196,3556
1,20120126,196,3556
0,20120126,30,1984
0,20120126,30,1984
1,20120127,298,6234
1,20120127,298,6234
0,20120127,610,6281
0,20120127,610,6281
0,20120128,776,5556
0,20120128,776,5556
1,20120128,533,5414
1,20120128,533,5414
0,20120129,202,5195
1,20120129,532,54
1,20120129,532,54
0,20120129,202,5195
1,20120130,105,524
0,20120130,235,2297
0,20120130,235,2297
1,20120130,105,524
1,20120131,2,4253
0,20120131,862,5199
1,20120131,2,4253
0,20120131,862,5199
1,20120201,140,2337
0,20120201,18,1227
1,20120201,140,2337
0,20120201,18,1227
0,20120202,23,8488
1,20120202,113,991
0,20120202,23,8488
1,20120202,113,991
0,20120203,333,8580
1,20120203,141,7861
0,20120203,333,8580
1,20120203,141,7861
1,20120204,442,6398
0,20120204,163,2188
1,20120204,442,6398
0,20120204,163,2188
0,20120205,779,6623
1,20120205,86,4141
1,20120205,86,4141
0,20120205,779,6623
0,20120206,930,8012
1,20120206,733,9824
0,20120206,930,8012
1,20120206,733,9824
0,20120207,460,7602
1,20120207,487,7499
0,20120207,460,7602
1,20120207,487,7499
1,20120208,451,6434
0,20120208,294,3827
0,20120208,294,3827
1,20120208,451,6434
0,20120209,540,1726
1,20120209,865,9923
0,20120209,540,1726
1,20120209,865,9923
0,20120210,375,436
0,20120210,375,436
1,20120210,720,2237
1,20120210,720,2237
1,20120211,740,1940
0,20120211,553,2949
1,20120211,740,1940
0,20120211,553,2949
1,20120212,410,6231
0,20120212,202,1092
0,20120212,202,1092
1,20120212,410,6231
0,20120213,510,1936
1,20120213,404,5080
0,20120213,510,1936
1,20120213,404,5080
1,20120214,326,7771
0,20120214,690,1801
1,20120214,326,7771
0,20120214,690,1801
0,20120215,219,8386
1,20120215,442,1502
1,20120215,442,1502
0,20120215,219,8386
1,20120216,718,1290
0,20120216,826,8320
1,20120216,718,1290
0,20120216,826,8320
0,20120217,928,6411
0,20120217,928,6411
1,20120217,769,4279
1,20120217,769,4279
0,20120218,251,9591
1,20120218,920,9873
1,20120218,920,9873
0,20120218,251,9591
1,20120219,172,863
0,20120219,628,4980
0,20120219,628,4980
1,20120219,172,863
1,20120220,272,3915
0,20120220,653,1442
0,20120220,653,1442
1,20120220,272,3915
0,20120221,255,2206
1,20120221,511,1272
0,20120221,255,2206
1,20120221,511,1272
1,20120222,290,5566
0,20120222,313,1974
0,20120222,313,1974
1,20120222,290,5566
1,20120223,14,6116
0,20120223,224,6010
0,20120223,224,6010
1,20120223,14,6116
1,20120224,658,1941
0,20120224,363,3737
0,20120224,363,3737
1,20120224,658,1941
0,20120225,750,2257
0,20120225,750,2257
1,20120225,806,8083
1,20120225,806,8083
0,20120226,526,8236
1,20120226,770,3677
0,20120226,526,8236
1,20120226,770,3677
0,20120227,416,3117
1,20120227,155,8881
1,20120227,155,8881
0,20120227,416,3117
0,20120228,908,9006
1,20120228,397,3043
0,20120228,908,9006
1,20120228,397,3043
1,20120229,783,3879
0,20120229,0,4918
1,20120229,783,3879
0,20120229,0,4918
1,20120301,970,3407
0,20120301,128,645
0,20120301,128,645
1,20120301,970,3407
0,20120302,900,8676
1,20120302,216,6918
1,20120302,216,6918
0,20120302,900,8676
1,20120303,519,2710
0,20120303,4,2594
1,20120303,519,2710
0,20120303,4,2594
1,20120304,592,1414
0,20120304,599,6046
1,20120304,592,1414
0,20120304,599,6046
0,20120305,528,6714
1,20120305,897,7349
0,20120305,528,6714
1,20120305,897,7349
0,20120306,588,8727
1,20120306,908,7006
0,20120306,588,8727
1,20120306,908,7006
1,20120307,139,5900
0,20120307,253,2831
0,20120307,253,2831
1,20120307,139,5900
1,20120308,971,2416
0,20120308,731,2549
1,20120308,971,2416
0,20120308,731,2549
1,20120309,768,1314
1,20120309,768,1314
0,20120309,394,501
0,20120309,394,501
1,20120310,934,6855
0,20120310,885,6499
1,20120310,934,6855
0,20120310,885,6499
1,20120311,37,6182
0,20120311,856,3603
1,20120311,37,6182
0,20120311,856,3603
0,20120312,959,7643
1,20120312,121,6996
0,20120312,959,7643
1,20120312,121,6996
1,20120313,139,7846
0,20120313,236,2709
0,20120313,236,2709
1,20120313,139,7846
0,20120314,770,666
0,20120314,770,666
1,20120314,841,5166
1,20120314,841,5166
1,20120315,386,5741
0,20120315,196,6828
1,20120315,386,5741
0,20120315,196,6828
0,20120316,973,4353
1,20120316,147,3187
0,20120316,973,4353
1,20120316,147,3187
1,20120317,332,9523
0,20120317,212,4582
0,20120317,212,4582
1,20120317,332,9523
1,20120318,996,1940
0,20120318,926,8897
1,20120318,996,1940
0,20120318,926,8897
0,20120319,797,5972
1,20120319,866,9305
1,20120319,866,9305
0,20120319,797,5972
1,20120320,467,3387
0,20120320,272,8638
1,20120320,467,3387
0,20120320,272,8638
1,20120321,28,2723
0,20120321,430,3846
0,20120321,430,3846
1,20120321,28,2723
0,20120322,347,4984
0,20120322,347,4984
1,20120322,463,440
1,20120322,463,440
1,20120323,927,1296
0,20120323,694,4736
1,20120323,927,1296
0,20120323,694,4736
0,20120324,317,6594
1,20120324,142,1431
0,20120324,317,6594
1,20120324,142,1431
0,20120325,315,5607
1,20120325,492,6200
0,20120325,315,5607
1,20120325,492,6200
0,20120326,71,4336
1,20120326,100,328
1,20120326,100,328
0,20120326,71,4336
0,20120327,437,9530
0,20120327,437,9530
1,20120327,446,4072
1,20120327,446,4072
1,20120328,856,1998
0,20120328,869,9872
1,20120328,856,1998
0,20120328,869,9872
0,20120329,951,1372
1,20120329,883,297
1,20120329,883,297
0,20120329,951,1372
0,20120330,22,2448
1,20120330,377,2482
1,20120330,377,2482
0,20120330,22,2448
1,20120331,730,7029
0,20120331,669,8657
0,20120331,669,8657
1,20120331,730,7029
1,20120401,620,7972
0,20120401,627,4093
0,20120401,627,4093
1,20120401,620,7972
1,20120402,38,6353
0,20120402,664,5272
0,20120402,664,5272
1,20120402,38,6353
1,20120403,543,1361
0,20120403,91,5405
0,20120403,91,5405
1,20120403,543,1361
0,20120404,29,2213
1,20120404,123,3911
0,20120404,29,2213
1,20120404,123,3911
1,20120405,398,8330
0,20120405,832,4570
0,20120405,832,4570
1,20120405,398,8330
1,20120406,664,1627
0,20120406,929,208
1,20120406,664,1627
0,20120406,929,208
1,20120407,754,3450
1,20120407,754,3450
0,20120407,573,7199
0,20120407,573,7199
1,20120408,940,5435
0,20120408,735,1810
1,20120408,940,5435
0,20120408,735,1810
1,20120409,157,9170
0,20120409,168,2694
1,20120409,157,9170
0,20120409,168,2694
1,20120410,560,5409
0,20120410,693,6535
0,20120410,693,6535
1,20120410,560,5409
1,20120411,982,5935
0,20120411,305,9432
0,20120411,305,9432
1,20120411,982,5935
0,20120412,166,7835
0,20120412,166,7835
1,20120412,528,1362
1,20120412,528,1362
0,20120413,268,9474
0,20120413,268,9474
1,20120413,437,822
1,20120413,437,822
0,20120414,456,1003
1,20120414,684,9945
0,20120414,456,1003
1,20120414,684,9945
0,20120415,437,8550
1,20120415,746,2409
1,20120415,746,2409
0,20120415,437,8550
0,20120416,18,5170
1,20120416,844,5160
0,20120416,18,5170
1,20120416,844,5160
0,20120417,776,1511
0,20120417,776,1511
1,20120417,354,6482
1,20120417,354,6482
1,20120418,975,7023
0,20120418,992,2864
1,20120418,975,7023
0,20120418,992,2864
0,20120419,112,7210
1,20120419,998,5686
1,20120419,998,5686
0,20120419,112,7210
1,20120420,855,938
0,20120420,445,4053
1,20120420,855,938
0,20120420,445,4053
0,20120421,4,457
1,20120421,314,4255
1,20120421,314,4255
0,20120421,4,457
1,20120422,721,1860
0,20120422,9,3772
0,20120422,9,3772
1,20120422,721,1860
1,20120423,21,8641
1,20120423,21,8641
0,20120423,219,4716
0,20120423,219,4716
1,20120424,612,4860
0,20120424,707,2946
1,20120424,612,4860
0,20120424,707,2946
1,20120425,76,1063
0,20120425,822,5830
0,20120425,822,5830
1,20120425,76,1063
0,20120426,352,6577
1,20120426,215,174
0,20120426,352,6577
1,20120426,215,174
1,20120427,182,4483
0,20120427,574,3038
1,20120427,182,4483
0,20120427,574,3038
1,20120428,277,387
0,20120428,390,8885
1,20120428,277,387
0,20120428,390,8885
0,20120429,474,5613
1,20120429,70,7644
0,20120429,474,5613
1,20120429,70,7644
0,20120430,54,3684
1,20120430,284,4934
1,20120430,284,4934
0,20120430,54,3684
0,20120501,499,7407
1,20120501,837,8232
1,20120501,837,8232
0,20120501,499,7407
1,20120502,160,9704
0,20120502,8,8473
1,20120502,160,9704
0,20120502,8,8473
0,20120503,494,248
1,20120503,80,6150
0,20120503,494,248
1,20120503,80,6150
0,20120504,586,9854
1,20120504,429,606
1,20120504,429,606
0,20120504,586,9854
0,20120505,354,7727
1,20120505,992,3016
1,20120505,992,3016
0,20120505,354,7727
1,20120506,791,1822
0,20120506,155,2107
1,20120506,791,1822
0,20120506,155,2107
0,20120507,634,1950
1,20120507,708,9413
0,20120507,634,1950
1,20120507,708,9413
0,20120508,229,3023
1,20120508,911,2708
1,20120508,911,2708
0,20120508,229,3023
1,20120509,115,6620
0,20120509,433,3309
1,20120509,115,6620
0,20120509,433,3309
1,20120510,31,2219
1,20120510,31,2219
0,20120510,36,4116
0,20120510,36,4116
0,20120511,467,1024
0,20120511,467,1024
1,20120511,511,3764
1,20120511,511,3764
1,20120512,493,6788
1,20120512,493,6788
0,20120512,431,112
0,20120512,431,112
0,20120513,212,8748
1,20120513,219,2429
0,20120513,212,8748
1,20120513,219,2429
1,20120514,401,9839
0,20120514,255,4462
0,20120514,255,4462
1,20120514,401,9839
1,20120515,418,3548
0,20120515,289,3154
1,20120515,418,3548
0,20120515,289,3154
0,20120516,276,4652
1,20120516,640,304
1,20120516,640,304
0,20120516,276,4652
1,20120517,713,8147
1,20120517,713,8147
0,20120517,358,4141
0,20120517,358,4141
1,20120518,458,1837
0,20120518,556,1110
0,20120518,556,1110
1,20120518,458,1837
0,20120519,26,8231
1,20120519,171,5115
0,20120519,26,8231
1,20120519,171,5115
0,20120520,262,7896
1,20120520,281,3544
1,20120520,281,3544
0,20120520,262,7896
0,20120521,477,7296
1,20120521,808,2487
1,20120521,808,2487
0,20120521,477,7296
1,20120522,847,9512
0,20120522,460,5651
1,20120522,847,9512
0,20120522,460,5651
1,20120523,462,1622
0,20120523,465,3967
1,20120523,462,1622
0,20120523,465,3967
1,20120524,227,9611
1,20120524,227,9611
0,20120524,124,2625
0,20120524,124,2625
0,20120525,202,723
1,20120525,371,9298
0,20120525,202,723
1,20120525,371,9298
0,20120526,371,82
1,20120526,887,4873
0,20120526,371,82
1,20120526,887,4873
1,20120527,842,6527
1,20120527,842,6527
0,20120527,240,550
0,20120527,240,550
0,20120528,15,4394
1,20120528,847,2106
1,20120528,847,2106
0,20120528,15,4394
0,20120529,822,9956
1,20120529,232,5238
0,20120529,822,9956
1,20120529,232,5238
1,20120530,472,8188
0,20120530,409,5027
1,20120530,472,8188
0,20120530,409,5027
1,20120531,547,5435
0,20120531,300,6725
1,20120531,547,5435
0,20120531,300,6725
1,20120601,6,114
0,20120601,499,923
1,20120601,6,114
0,20120601,499,923
1,20120602,90,7341
0,20120602,260,7456
1,20120602,90,7341
0,20120602,260,7456
1,20120603,422,6802
0,20120603,136,9017
1,20120603,422,6802
0,20120603,136,9017
1,20120604,494,9883
1,20120604,494,9883
0,20120604,20,4709
0,20120604,20,4709
0,20120605,13,4901
1,20120605,920,6504
1,20120605,920,6504
0,20120605,13,4901
1,20120606,400,4206
0,20120606,986,8228
0,20120606,986,8228
1,20120606,400,4206
1,20120607,823,3354
0,20120607,252,7685
1,20120607,823,3354
0,20120607,252,7685
0,20120608,125,4660
1,20120608,257,6455
1,20120608,257,6455
0,20120608,125,4660
0,20120609,43,5616
1,20120609,731,9538
1,20120609,731,9538
0,20120609,43,5616
1,20120610,159,6394
0,20120610,144,4606
1,20120610,159,6394
0,20120610,144,4606
1,20120611,942,1202
0,20120611,208,3972
0,20120611,208,3972
1,20120611,942,1202
0,20120612,867,3138
0,20120612,867,3138
1,20120612,616,3359
1,20120612,616,3359
0,20120613,352,9860
1,20120613,911,2078
0,20120613,352,9860
1,20120613,911,2078
1,20120614,125,7488
0,20120614,316,4605
0,20120614,316,4605
1,20120614,125,7488
0,20120615,497,4072
1,20120615,288,9695
0,20120615,497,4072
1,20120615,288,9695
1,20120616,239,9711
0,20120616,109,1534
0,20120616,109,1534
1,20120616,239,9711
1,20120617,773,4343
0,20120617,28,4142
1,20120617,773,4343
0,20120617,28,4142
0,20120618,69,5678
0,20120618,69,5678
1,20120618,979,7715
1,20120618,979,7715
1,20120619,447,8162
0,20120619,916,3287
1,20120619,447,8162
0,20120619,916,3287
0,20120620,443,6977
1,20120620,181,784
0,20120620,443,6977
1,20120620,181,784
1,20120621,572,4576
0,20120621,625,1110
1,20120621,572,4576
0,20120621,625,1110
1,20120622,123,3793
1,20120622,123,3793
0,20120622,519,3960
0,20120622,519,3960
1,20120623,788,3870
0,20120623,85,4405
0,20120623,85,4405
1,20120623,788,3870
1,20120624,587,1928
0,20120624,491,3139
0,20120624,491,3139
1,20120624,587,1928
1,20120625,841,3613
0,20120625,497,5929
0,20120625,497,5929
1,20120625,841,3613
0,20120626,304,7489
0,20120626,304,7489
1,20120626,405,1587
1,20120626,405,1587
1,20120627,882,1462
0,20120627,530,6991
0,20120627,530,6991
1,20120627,882,1462
1,20120628,745,1614
0,20120628,808,947
1,20120628,745,1614
0,20120628,808,947
1,20120629,119,5507
0,20120629,854,822
1,20120629,119,5507
0,20120629,854,822
0,20120630,779,3461
0,20120630,779,3461
1,20120630,805,8440
1,20120630,805,8440
0,20120701,715,9743
0,20120701,715,9743
1,20120701,260,4480
1,20120701,260,4480
0,20120702,818,1825
1,20120702,577,8427
0,20120702,818,1825
1,20120702,577,8427
1,20120703,845,8795
1,20120703,845,8795
0,20120703,966,6878
0,20120703,966,6878
0,20120704,755,1453
1,20120704,503,9930
1,20120704,503,9930
0,20120704,755,1453
1,20120705,431,4718
1,20120705,431,4718
0,20120705,231,5397
0,20120705,231,5397
0,20120706,47,3592
0,20120706,47,3592
1,20120706,45,7670
1,20120706,45,7670
0,20120707,808,3493
1,20120707,514,6842
0,20120707,808,3493
1,20120707,514,6842
1,20120708,271,1779
0,20120708,675,2665
1,20120708,271,1779
0,20120708,675,2665
0,20120709,139,2922
1,20120709,22,1373
1,20120709,22,1373
0,20120709,139,2922
1,20120710,46,5735
0,20120710,763,2108
1,20120710,46,5735
0,20120710,763,2108
1,20120711,577,4501
1,20120711,577,4501
0,20120711,165,1733
0,20120711,165,1733
1,20120712,170,4111
1,20120712,170,4111
0,20120712,643,8722
0,20120712,643,8722
0,20120713,585,7536
1,20120713,721,4154
1,20120713,721,4154
0,20120713,585,7536
0,20120714,553,9512
0,20120714,553,9512
1,20120714,899,9533
1,20120714,899,9533
0,20120715,414,3539
1,20120715,177,1978
1,20120715,177,1978
0,20120715,414,3539
1,20120716,981,2544
0,20120716,245,1182
1,20120716,981,2544
0,20120716,245,1182
0,20120717,120,404
1,20120717,133,6433
1,20120717,133,6433
0,20120717,120,404
0,20120718,322,9989
1,20120718,920,2283
0,20120718,322,9989
1,20120718,920,2283
0,20120719,936,5423
1,20120719,54,1798
1,20120719,54,1798
0,20120719,936,5423
1,20120720,459,7858
0,20120720,894,6297
1,20120720,459,7858
0,20120720,894,6297
