Draw,Date,Pick3,Pick4
0,2018-01-01,164,4096
1,2018-01-01,95,7858
0,2018-01-02,685,1625
1,2018-01-02,292,4373
0,2018-01-03,790,5544
1,2018-01-03,587,674
0,2018-01-04,16,5423
1,2018-01-04,123,5217
0,2018-01-05,655,8339
1,2018-01-05,999,9838
0,2018-01-06,396,9074
1,2018-01-06,952,6486
0,2018-01-07,984,3156
1,2018-01-07,561,1909
0,2018-01-08,710,282
1,2018-01-08,773,7120
0,2018-01-09,971,2162
1,2018-01-09,912,8016
0,2018-01-10,406,7682
1,2018-01-10,13,2075
0,2018-01-11,906,6285
1,2018-01-11,985,8424
0,2018-01-12,742,1923
1,2018-01-12,29,306
0,2018-01-13,57,657
1,2018-01-13,147,5362
0,2018-01-14,677,2272
1,2018-01-14,479,8004
0,2018-01-15,372,9043
1,2018-01-15,672,5086
0,2018-01-16,385,4875
1,2018-01-16,514,6967
0,2018-01-17,581,8753
1,2018-01-17,975,7841
0,2018-01-18,799,3497
1,2018-01-18,224,7056
0,2018-01-19,512,8128
1,2018-01-19,156,4481
0,2018-01-20,9,3435
1,2018-01-20,595,8029
0,2018-01-21,609,3302
1,2018-01-21,406,5790
0,2018-01-22,866,3497
1,2018-01-22,447,3901
0,2018-01-23,352,7353
1,2018-01-23,15,9342
0,2018-01-24,908,973
1,2018-01-24,623,7758
0,2018-01-25,254,6977
1,2018-01-25,767,5563
0,2018-01-26,660,5126
1,2018-01-26,997,593
0,2018-01-27,821,3354
1,2018-01-27,563,7333
0,2018-01-28,249,6000
1,2018-01-28,719,5940
0,2018-01-29,349,9606
1,2018-01-29,762,3757
0,2018-01-30,35,8089
1,2018-01-30,206,5396
0,2018-01-31,226,722
1,2018-01-31,875,2412
0,2018-02-01,219,2894
1,2018-02-01,365,2375
0,2018-02-02,746,1598
1,2018-02-02,581,9001
0,2018-02-03,947,1138
1,2018-02-03,441,2383
0,2018-02-04,379,3263
1,2018-02-04,65,5400
0,2018-02-05,338,1522
1,2018-02-05,970,1794
0,2018-02-06,913,3901
1,2018-02-06,643,6238
0,2018-02-07,633,4363
1,2018-02-07,856,1504
0,2018-02-08,94,9361
1,2018-02-08,74,1278
0,2018-02-09,394,7141
1,2018-02-09,61,3651
0,2018-02-10,599,1227
1,2018-02-10,254,9638
0,2018-02-11,930,9910
1,2018-02-11,341,1162
0,2018-02-12,466,1151
1,2018-02-12,611,3264
0,2018-02-13,891,2109
1,2018-02-13,834,7467
0,2018-02-14,245,519
1,2018-02-14,871,4141
0,2018-02-15,651,2593
1,2018-02-15,135,5405
0,2018-02-16,939,3375
1,2018-02-16,274,6414
0,2018-02-17,711,5698
1,2018-02-17,328,884
0,2018-02-18,603,7413
1,2018-02-18,157,9809
0,2018-02-19,587,9715
1,2018-02-19,294,4326
0,2018-02-20,166,1203
1,2018-02-20,767,9756
0,2018-02-21,529,4044
1,2018-02-21,924,5467
0,2018-02-22,60,7837
1,2018-02-22,98,9393
0,2018-02-23,591,2658
1,2018-02-23,812,7881
0,2018-02-24,622,5347
1,2018-02-24,748,9787
0,2018-02-25,999,5970
1,2018-02-25,239,4222
0,2018-02-26,584,7709
1,2018-02-26,266,432
0,2018-02-27,958,517
1,2018-02-27,937,9060
0,2018-02-28,641,4681
1,2018-02-28,5,3167
0,2018-03-01,812,1081
1,2018-03-01,814,798
0,2018-03-02,272,759
1,2018-03-02,8,3271
0,2018-03-03,562,8200
1,2018-03-03,289,1147
0,2018-03-04,244,9118
1,2018-03-04,194,221
0,2018-03-05,91,6696
1,2018-03-05,7,9727
0,2018-03-06,644,4464
1,2018-03-06,293,6024
0,2018-03-07,804,7381
1,2018-03-07,8,6702
0,2018-03-08,85,7153
1,2018-03-08,470,1669
0,2018-03-09,492,8724
1,2018-03-09,351,7624
0,2018-03-10,461,2540
1,2018-03-10,729,8741
0,2018-03-11,749,9540
1,2018-03-11,490,7457
0,2018-03-12,202,3265
1,2018-03-12,453,782
0,2018-03-13,713,5830
1,2018-03-13,362,5835
0,2018-03-14,198,4017
1,2018-03-14,281,6424
0,2018-03-15,479,6113
1,2018-03-15,973,3161
0,2018-03-16,13,1693
1,2018-03-16,222,6644
0,2018-03-17,728,7499
1,2018-03-17,629,3368
0,2018-03-18,507,782
1,2018-03-18,420,2217
0,2018-03-19,98,6625
1,2018-03-19,996,8087
0,2018-03-20,240,4438
1,2018-03-20,398,9470
0,2018-03-21,979,8323
1,2018-03-21,421,3299
0,2018-03-22,159,1837
1,2018-03-22,759,1607
0,2018-03-23,746,7279
1,2018-03-23,224,5886
0,2018-03-24,808,8145
1,2018-03-24,495,6191
0,2018-03-25,333,2337
1,2018-03-25,655,8145
0,2018-03-26,604,9323
1,2018-03-26,452,2736
0,2018-03-27,258,2407
1,2018-03-27,477,5528
0,2018-03-28,452,6418
1,2018-03-28,932,366
0,2018-03-29,250,4004
1,2018-03-29,670,816
0,2018-03-30,646,1983
1,2018-03-30,184,8102
0,2018-03-31,305,305
1,2018-03-31,457,2632
0,2018-04-01,734,4371
1,2018-04-01,255,4884
0,2018-04-02,236,8867
1,2018-04-02,218,4641
0,2018-04-03,406,8851
1,2018-04-03,384,9866
0,2018-04-04,30,7593
1,2018-04-04,465,5469
0,2018-04-05,809,7588
1,2018-04-05,186,6688
0,2018-04-06,637,1167
1,2018-04-06,616,4949
0,2018-04-07,291,7878
1,2018-04-07,905,5488
0,2018-04-08,658,6462
1,2018-04-08,179,9478
0,2018-04-09,850,3636
1,2018-04-09,10,5884
0,2018-04-10,748,5593
1,2018-04-10,206,5135
0,2018-04-11,321,3653
1,2018-04-11,630,7692
0,2018-04-12,563,5943
1,2018-04-12,790,8594
0,2018-04-13,553,1065
1,2018-04-13,158,703
0,2018-04-14,478,5241
1,2018-04-14,12,6124
0,2018-04-15,822,4580
1,2018-04-15,203,1916
0,2018-04-16,609,1529
1,2018-04-16,537,328
0,2018-04-17,702,5418
1,2018-04-17,721,7612
0,2018-04-18,70,8008
1,2018-04-18,72,1778
0,2018-04-19,467,6824
1,2018-04-19,211,5873
0,2018-04-20,991,9793
1,2018-04-20,314,2848
0,2018-04-21,550,519
1,2018-04-21,51,1877
0,2018-04-22,255,8616
1,2018-04-22,497,768
0,2018-04-23,314,5155
1,2018-04-23,42,9234
0,2018-04-24,420,7715
1,2018-04-24,161,5705
0,2018-04-25,312,6118
1,2018-04-25,307,4140
0,2018-04-26,559,4202
1,2018-04-26,318,9114
0,2018-04-27,788,7703
1,2018-04-27,994,4485
0,2018-04-28,230,809
1,2018-04-28,239,6242
0,2018-04-29,690,5912
1,2018-04-29,660,470
0,2018-04-30,691,2404
1,2018-04-30,456,2243
0,2018-05-01,396,879
1,2018-05-01,154,9491
0,2018-05-02,11,4627
1,2018-05-02,445,4359
0,2018-05-03,803,3041
1,2018-05-03,182,5212
0,2018-05-04,444,8462
1,2018-05-04,87,6197
0,2018-05-05,903,1283
1,2018-05-05,99,907
0,2018-05-06,306,4114
1,2018-05-06,847,8739
0,2018-05-07,985,7620
1,2018-05-07,677,3018
0,2018-05-08,5,6803
1,2018-05-08,920,4380
0,2018-05-09,180,8079
1,2018-05-09,643,6281
0,2018-05-10,239,1035
1,2018-05-10,801,9576
0,2018-05-11,293,9169
1,2018-05-11,554,5749
0,2018-05-12,323,8381
1,2018-05-12,815,278
0,2018-05-13,698,5387
1,2018-05-13,630,1564
0,2018-05-14,81,2895
1,2018-05-14,751,7652
0,2018-05-15,323,1872
1,2018-05-15,123,3015
0,2018-05-16,592,2008
1,2018-05-16,489,4281
0,2018-05-17,142,2655
1,2018-05-17,913,3210
0,2018-05-18,307,6694
1,2018-05-18,517,4001
0,2018-05-19,139,8850
1,2018-05-19,28,6440
0,2018-05-20,373,7038
1,2018-05-20,632,1192
0,2018-05-21,781,4823
1,2018-05-21,938,5908
0,2018-05-22,582,9949
1,2018-05-22,917,7250
0,2018-05-23,949,1423
1,2018-05-23,118,8027
0,2018-05-24,791,9053
1,2018-05-24,364,3765
0,2018-05-25,987,1841
1,2018-05-25,766,2587
0,2018-05-26,488,316
1,2018-05-26,805,8253
0,2018-05-27,224,7476
1,2018-05-27,949,9495
0,2018-05-28,145,1089
1,2018-05-28,619,2200
0,2018-05-29,977,8027
1,2018-05-29,285,7141
0,2018-05-30,217,112
1,2018-05-30,914,7899
0,2018-05-31,250,5220
1,2018-05-31,164,5303
0,2018-06-01,578,787
1,2018-06-01,496,4251
0,2018-06-02,726,6639
1,2018-06-02,140,206
0,2018-06-03,41,4985
1,2018-06-03,183,7706
0,2018-06-04,547,7022
1,2018-06-04,589,4115
0,2018-06-05,873,6960
1,2018-06-05,693,3396
0,2018-06-06,273,1231
1,2018-06-06,24,7892
0,2018-06-07,731,3090
1,2018-06-07,973,4952
0,2018-06-08,663,5987
1,2018-06-08,447,7964
0,2018-06-09,188,307
1,2018-06-09,328,2922
0,2018-06-10,3,5540
1,2018-06-10,602,7887
0,2018-06-11,731,6874
1,2018-06-11,702,3241
0,2018-06-12,613,8765
1,2018-06-12,192,3582
0,2018-06-13,233,1291
1,2018-06-13,486,6014
0,2018-06-14,867,372
1,2018-06-14,874,7988
0,2018-06-15,624,3542
1,2018-06-15,533,3356
0,2018-06-16,35,8641
1,2018-06-16,642,3736
0,2018-06-17,782,8274
1,2018-06-17,498,4924
0,2018-06-18,371,2552
1,2018-06-18,318,5437
0,2018-06-19,830,4435
1,2018-06-19,118,956
0,2018-06-20,101,9532
1,2018-06-20,705,1972
0,2018-06-21,456,1651
1,2018-06-21,995,9431
0,2018-06-22,933,9280
1,2018-06-22,901,3363
0,2018-06-23,781,5436
1,2018-06-23,605,9128
0,2018-06-24,317,6245
1,2018-06-24,722,704
0,2018-06-25,628,9410
1,2018-06-25,910,9198
0,2018-06-26,588,7008
1,2018-06-26,275,2588
0,2018-06-27,50,3437
1,2018-06-27,448,4994
0,2018-06-28,616,2917
1,2018-06-28,132,9262
0,2018-06-29,420,4281
1,2018-06-29,141,2543
0,2018-06-30,810,9477
1,2018-06-30,267,6236
0,2018-07-01,361,2410
1,2018-07-01,273,8281
0,2018-07-02,20,3729
1,2018-07-02,494,8334
0,2018-07-03,669,2203
1,2018-07-03,119,5445
0,2018-07-04,168,6574
1,2018-07-04,694,3844
0,2018-07-05,383,9319
1,2018-07-05,724,1903
0,2018-07-06,212,3374
1,2018-07-06,7,5374
0,2018-07-07,410,5802
1,2018-07-07,955,5339
0,2018-07-08,122,6773
1,2018-07-08,149,9335
0,2018-07-09,201,7805
1,2018-07-09,507,7863
0,2018-07-10,751,9688
1,2018-07-10,897,1138
0,2018-07-11,189,3837
1,2018-07-11,368,1302
0,2018-07-12,221,4182
1,2018-07-12,778,7785
0,2018-07-13,283,1551
1,2018-07-13,686,19
0,2018-07-14,20,8712
1,2018-07-14,503,5314
0,2018-07-15,485,6456
1,2018-07-15,731,8417
0,2018-07-16,806,8558
1,2018-07-16,851,1948
0,2018-07-17,848,1562
1,2018-07-17,740,7565
0,2018-07-18,303,8685
1,2018-07-18,728,2100
0,2018-07-19,275,6835
1,2018-07-19,153,343
0,2018-07-20,940,2460
1,2018-07-20,44,5835
0,2018-07-21,715,7422
1,2018-07-21,236,3381
0,2018-07-22,299,311
1,2018-07-22,417,7050
0,2018-07-23,923,1287
1,2018-07-23,376,2222
0,2018-07-24,817,2795
1,2018-07-24,217,4766
0,2018-07-25,355,218
1,2018-07-25,812,6885
0,2018-07-26,111,6482
1,2018-07-26,516,2813
0,2018-07-27,657,222
1,2018-07-27,706,6240
0,2018-07-28,322,8054
1,2018-07-28,186,9746
0,2018-07-29,14,4047
1,2018-07-29,431,9280
0,2018-07-30,939,6537
1,2018-07-30,676,9606
0,2018-07-31,809,4574
1,2018-07-31,223,2216
0,2018-08-01,513,1400
1,2018-08-01,508,1782
0,2018-08-02,61,6782
1,2018-08-02,183,2563
0,2018-08-03,962,9492
1,2018-08-03,769,2787
0,2018-08-04,800,1121
1,2018-08-04,131,4669
0,2018-08-05,518,774
1,2018-08-05,991,9013
0,2018-08-06,593,5272
1,2018-08-06,915,6017
0,2018-08-07,246,7246
1,2018-08-07,917,8348
0,2018-08-08,263,3793
1,2018-08-08,738,5946
0,2018-08-09,676,652
1,2018-08-09,824,2561
0,2018-08-10,416,3961
1,2018-08-10,16,5777
0,2018-08-11,447,2843
1,2018-08-11,763,6829
0,2018-08-12,254,7078
1,2018-08-12,239,8879
0,2018-08-13,791,3264
1,2018-08-13,764,272
0,2018-08-14,476,1281
1,2018-08-14,996,6331
0,2018-08-15,454,2375
1,2018-08-15,45,5727
0,2018-08-16,658,4942
1,2018-08-16,412,8596
0,2018-08-17,786,2740
1,2018-08-17,359,5238
0,2018-08-18,853,4904
1,2018-08-18,251,5301
0,2018-08-19,877,5797
1,2018-08-19,304,6666
0,2018-08-20,179,6722
1,2018-08-20,208,6151
0,2018-08-21,32,4644
1,2018-08-21,599,9909
