Draw,Date,Pick3,Pick4,Date_Time,Date_Str,Date_Delta,Pick3str,Pick4str,P3B1,P3B2,P3B3,P4B1,P4B2,P4B3,P4B4
0,2012-01-01,991,979,2012-01-01,20120101,0.0,991,0979,9,9,1,0,9,7,9
1,2012-01-01,441,7036,2012-01-01,20120101,0.0,441,7036,4,4,1,7,0,3,6
0,2012-01-02,516,1507,2012-01-02,20120102,1.0,516,1507,5,1,6,1,5,0,7
1,2012-01-02,629,452,2012-01-02,20120102,1.0,629,0452,6,2,9,0,4,5,2
0,2012-01-03,188,1857,2012-01-03,20120103,2.0,188,1857,1,8,8,1,8,5,7
1,2012-01-03,212,9676,2012-01-03,20120103,2.0,212,9676,2,1,2,9,6,7,6
0,2012-01-04,845,1985,2012-01-04,20120104,3.0,845,1985,8,4,5,1,9,8,5
1,2012-01-04,349,4649,2012-01-04,20120104,3.0,349,4649,3,4,9,4,6,4,9
0,2012-01-05,219,6062,2012-01-05,20120105,4.0,219,6062,2,1,9,6,0,6,2
1,2012-01-05,444,9039,2012-01-05,20120105,4.0,444,9039,4,4,4,9,0,3,9
1,2012-01-06,13,7622,2012-01-06,20120106,5.0,013,7622,0,1,3,7,6,2,2
0,2012-01-06,345,4654,2012-01-06,20120106,5.0,345,4654,3,4,5,4,6,5,4
0,2012-01-07,519,7717,2012-01-07,20120107,6.0,519,7717,5,1,9,7,7,1,7
1,2012-01-07,346,753,2012-01-07,20120107,6.0,346,0753,3,4,6,0,7,5,3
0,2012-01-08,503,598,2012-01-08,20120108,7.0,503,0598,5,0,3,0,5,9,8
1,2012-01-08,938,3705,2012-01-08,20120108,7.0,938,3705,9,3,8,3,7,0,5
0,2012-01-09,10,3799,2012-01-09,20120109,8.0,010,3799,0,1,0,3,7,9,9
1,2012-01-09,109,3606,2012-01-09,20120109,8.0,109,3606,1,0,9,3,6,0,6
0,2012-01-10,994,7084,2012-01-10,20120110,9.0,994,7084,9,9,4,7,0,8,4
1,2012-01-10,123,8013,2012-01-10,20120110,9.0,123,8013,1,2,3,8,0,1,3
1,2012-01-11,875,4067,2012-01-11,20120111,10.0,875,4067,8,7,5,4,0,6,7
0,2012-01-11,514,6316,2012-01-11,20120111,10.0,514,6316,5,1,4,6,3,1,6
1,2012-01-12,609,7248,2012-01-12,20120112,11.0,609,7248,6,0,9,7,2,4,8
0,2012-01-12,275,6257,2012-01-12,20120112,11.0,275,6257,2,7,5,6,2,5,7
0,2012-01-13,526,6160,2012-01-13,20120113,12.0,526,6160,5,2,6,6,1,6,0
1,2012-01-13,562,369,2012-01-13,20120113,12.0,562,0369,5,6,2,0,3,6,9
0,2012-01-14,292,6200,2012-01-14,20120114,13.0,292,6200,2,9,2,6,2,0,0
1,2012-01-14,984,8361,2012-01-14,20120114,13.0,984,8361,9,8,4,8,3,6,1
0,2012-01-15,337,6777,2012-01-15,20120115,14.0,337,6777,3,3,7,6,7,7,7
1,2012-01-15,945,7672,2012-01-15,20120115,14.0,945,7672,9,4,5,7,6,7,2
0,2012-01-16,309,1635,2012-01-16,20120116,15.0,309,1635,3,0,9,1,6,3,5
