Day - Draw,Date,Powerball,Date_Time,Date_Str,Date_Delta
WED - MID, 1/1/2020, ,2020-01-01,20200101,0.0
WED - EVE, 1/1/2020, 49 53 57 59 62 +26 x2 $220.00 M/0,2020-01-01,20200101,0.0
FRI - EVE, 1/10/2020, ,2020-01-10,20200110,9.0
FRI - MID, 1/10/2020, ,2020-01-10,20200110,9.0
SAT - EVE, 1/11/2020, 3 21 23 31 59 +3 x2 $277.00 M/0,2020-01-11,20200111,10.0
SAT - MID, 1/11/2020, ,2020-01-11,20200111,10.0
SUN - MID, 1/12/2020, ,2020-01-12,20200112,11.0
SUN - EVE, 1/12/2020, ,2020-01-12,20200112,11.0
MON - EVE, 1/13/2020, ,2020-01-13,20200113,12.0
MON - MID, 1/13/2020, ,2020-01-13,20200113,12.0
TUE - EVE, 1/14/2020, ,2020-01-14,20200114,13.0
TUE - MID, 1/14/2020, ,2020-01-14,20200114,13.0
WED - EVE, 1/15/2020, 39 41 53 55 68 +19 x2 $296.00 M/0,2020-01-15,20200115,14.0
WED - MID, 1/15/2020, ,2020-01-15,20200115,14.0
THU - EVE, 1/16/2020, ,2020-01-16,20200116,15.0
THU - MID, 1/16/2020, ,2020-01-16,20200116,15.0
FRI - MID, 1/17/2020, ,2020-01-17,20200117,16.0
FRI - EVE, 1/17/2020, ,2020-01-17,20200117,16.0
SAT - MID, 1/18/2020, ,2020-01-18,20200118,17.0
SAT - EVE, 1/18/2020, 20 24 38 56 68 +18 x2 $321.00 M/0,2020-01-18,20200118,17.0
SUN - MID, 1/19/2020, ,2020-01-19,20200119,18.0
SUN - EVE, 1/19/2020, ,2020-01-19,20200119,18.0
THU - EVE, 1/2/2020, ,2020-01-02,20200102,1.0
THU - MID, 1/2/2020, ,2020-01-02,20200102,1.0
MON - EVE, 1/20/2020, ,2020-01-20,20200120,19.0
MON - MID, 1/20/2020, ,2020-01-20,20200120,19.0
TUE - EVE, 1/21/2020, ,2020-01-21,20200121,20.0
TUE - MID, 1/21/2020, ,2020-01-21,20200121,20.0
WED - MID, 1/22/2020, ,2020-01-22,20200122,21.0
