Draw,Date,Pick3,Pick4,Date_Delta
0,2010-01-01,391,2227,0.0
1,2010-01-01,808,175,0.0
0,2010-01-02,989,5164,1.0
1,2010-01-02,137,9911,1.0
0,2010-01-03,284,3159,2.0
1,2010-01-03,290,7077,2.0
0,2010-01-04,942,8206,3.0
1,2010-01-04,809,9631,3.0
1,2010-01-05,755,1640,4.0
0,2010-01-05,278,7443,4.0
1,2010-01-06,550,7863,5.0
1,2010-01-06,226,6927,5.0
0,2010-01-07,208,1985,6.0
1,2010-01-07,456,4240,6.0
0,2010-01-08,548,1095,7.0
1,2010-01-08,295,4495,7.0
1,2010-01-09,874,917,8.0
0,2010-01-09,948,4143,8.0
1,2010-01-10,976,4202,9.0
0,2010-01-10,654,9178,9.0
0,2010-01-11,379,8843,10.0
1,2010-01-11,853,2722,10.0
0,2010-01-12,384,3527,11.0
1,2010-01-12,557,5900,11.0
1,2010-01-13,686,1268,12.0
1,2010-01-13,853,8817,12.0
0,2010-01-14,824,9979,13.0
1,2010-01-14,646,4702,13.0
1,2010-01-15,48,8524,14.0
0,2010-01-15,305,2328,14.0
0,2010-01-16,436,5707,15.0
1,2010-01-16,225,3505,15.0
0,2010-01-17,500,6599,16.0
1,2010-01-17,47,704,16.0
0,2010-01-18,42,1476,17.0
1,2010-01-18,809,2361,17.0
0,2010-01-19,770,3080,18.0
1,2012-01-01,441,7036,730.0
0,2012-01-01,991,979,730.0
0,2012-01-01,991,979,730.0
1,2012-01-01,441,7036,730.0
1,2012-01-02,629,452,731.0
0,2012-01-02,516,1507,731.0
0,2012-01-02,516,1507,731.0
1,2012-01-02,629,452,731.0
1,2012-01-03,212,9676,732.0
0,2012-01-03,188,1857,732.0
0,2012-01-03,188,1857,732.0
1,2012-01-03,212,9676,732.0
1,2012-01-04,349,4649,733.0
0,2012-01-04,845,1985,733.0
0,2012-01-04,845,1985,733.0
1,2012-01-04,349,4649,733.0
1,2012-01-05,444,9039,734.0
0,2012-01-05,219,6062,734.0
1,2012-01-05,444,9039,734.0
0,2012-01-05,219,6062,734.0
1,2012-01-06,13,7622,735.0
0,2012-01-06,345,4654,735.0
0,2012-01-06,345,4654,735.0
1,2012-01-06,13,7622,735.0
1,2012-01-07,346,753,736.0
1,2012-01-07,346,753,736.0
0,2012-01-07,519,7717,736.0
0,2012-01-07,519,7717,736.0
1,2012-01-08,938,3705,737.0
0,2012-01-08,503,598,737.0
1,2012-01-08,938,3705,737.0
0,2012-01-08,503,598,737.0
0,2012-01-09,10,3799,738.0
1,2012-01-09,109,3606,738.0
0,2012-01-09,10,3799,738.0
1,2012-01-09,109,3606,738.0
1,2012-01-10,123,8013,739.0
0,2012-01-10,994,7084,739.0
1,2012-01-10,123,8013,739.0
0,2012-01-10,994,7084,739.0
1,2012-01-11,875,4067,740.0
1,2012-01-11,875,4067,740.0
0,2012-01-11,514,6316,740.0
0,2012-01-11,514,6316,740.0
0,2012-01-12,275,6257,741.0
0,2012-01-12,275,6257,741.0
1,2012-01-12,609,7248,741.0
1,2012-01-12,609,7248,741.0
1,2012-01-13,562,369,742.0
1,2012-01-13,562,369,742.0
0,2012-01-13,526,6160,742.0
0,2012-01-13,526,6160,742.0
0,2012-01-14,292,6200,743.0
1,2012-01-14,984,8361,743.0
0,2012-01-14,292,6200,743.0
1,2012-01-14,984,8361,743.0
1,2012-01-15,945,7672,744.0
0,2012-01-15,337,6777,744.0
1,2012-01-15,945,7672,744.0
0,2012-01-15,337,6777,744.0
0,2012-01-16,309,1635,745.0
0,2012-01-16,309,1635,745.0
1,2012-01-16,622,6509,745.0
1,2012-01-16,622,6509,745.0
1,2012-01-17,176,7265,746.0
0,2012-01-17,560,5259,746.0
0,2012-01-17,560,5259,746.0
1,2012-01-17,176,7265,746.0
