Draw,Date,Pick3,Pick4,Date_Time,Date_Delta,Date_Str,Pick3str,Pick4str
0,2012-01-01,991,979,2012-01-01,0.0,20120101,991,0979
1,2012-01-01,441,7036,2012-01-01,0.0,20120101,441,7036
0,2012-01-02,516,1507,2012-01-02,1.0,20120102,516,1507
1,2012-01-02,629,452,2012-01-02,1.0,20120102,629,0452
0,2012-01-03,188,1857,2012-01-03,2.0,20120103,188,1857
1,2012-01-03,212,9676,2012-01-03,2.0,20120103,212,9676
0,2012-01-04,845,1985,2012-01-04,3.0,20120104,845,1985
1,2012-01-04,349,4649,2012-01-04,3.0,20120104,349,4649
0,2012-01-05,219,6062,2012-01-05,4.0,20120105,219,6062
1,2012-01-05,444,9039,2012-01-05,4.0,20120105,444,9039
0,2012-01-06,345,4654,2012-01-06,5.0,20120106,345,4654
1,2012-01-06,13,7622,2012-01-06,5.0,20120106,013,7622
0,2012-01-07,519,7717,2012-01-07,6.0,20120107,519,7717
1,2012-01-07,346,753,2012-01-07,6.0,20120107,346,0753
0,2012-01-08,503,598,2012-01-08,7.0,20120108,503,0598
1,2012-01-08,938,3705,2012-01-08,7.0,20120108,938,3705
0,2012-01-09,10,3799,2012-01-09,8.0,20120109,010,3799
1,2012-01-09,109,3606,2012-01-09,8.0,20120109,109,3606
0,2012-01-10,994,7084,2012-01-10,9.0,20120110,994,7084
1,2012-01-10,123,8013,2012-01-10,9.0,20120110,123,8013
0,2012-01-11,514,6316,2012-01-11,10.0,20120111,514,6316
1,2012-01-11,875,4067,2012-01-11,10.0,20120111,875,4067
0,2012-01-12,275,6257,2012-01-12,11.0,20120112,275,6257
1,2012-01-12,609,7248,2012-01-12,11.0,20120112,609,7248
0,2012-01-13,526,6160,2012-01-13,12.0,20120113,526,6160
1,2012-01-13,562,369,2012-01-13,12.0,20120113,562,0369
0,2012-01-14,292,6200,2012-01-14,13.0,20120114,292,6200
1,2012-01-14,984,8361,2012-01-14,13.0,20120114,984,8361
0,2012-01-15,337,6777,2012-01-15,14.0,20120115,337,6777
1,2012-01-15,945,7672,2012-01-15,14.0,20120115,945,7672
0,2012-01-16,309,1635,2012-01-16,15.0,20120116,309,1635
1,2012-01-16,622,6509,2012-01-16,15.0,20120116,622,6509
0,2012-01-17,560,5259,2012-01-17,16.0,20120117,560,5259
1,2012-01-17,176,7265,2012-01-17,16.0,20120117,176,7265
0,2012-01-18,352,7655,2012-01-18,17.0,20120118,352,7655
1,2012-01-18,126,3817,2012-01-18,17.0,20120118,126,3817
0,2012-01-19,697,4548,2012-01-19,18.0,20120119,697,4548
1,2012-01-19,743,8346,2012-01-19,18.0,20120119,743,8346
