Draw,Date,Pick3
0,2019-01-01,444
1,2019-01-01,485
0,2019-01-02,103
1,2019-01-02,485
0,2019-01-03,309
1,2019-01-03,644
0,2019-01-04,178
1,2019-01-04,188
0,2019-01-05,922
1,2019-01-05,728
0,2019-01-06,862
1,2019-01-06,916
0,2019-01-07,952
1,2019-01-07,312
0,2019-01-08,401
1,2019-01-08,844
0,2019-01-09,64
1,2019-01-09,451
0,2019-01-10,48
1,2019-01-10,94
0,2019-01-11,61
1,2019-01-11,305
0,2019-01-12,374
1,2019-01-12,940
0,2019-01-13,827
1,2019-01-13,109
0,2019-01-14,220
1,2019-01-14,650
0,2019-01-15,906
1,2019-01-15,389
0,2019-01-16,793
1,2019-01-16,560
0,2019-01-17,202
1,2019-01-17,809
0,2019-01-18,693
1,2019-01-18,123
0,2019-01-19,858
1,2019-01-19,752
0,2019-01-20,79
1,2019-01-20,646
0,2019-01-21,925
1,2019-01-21,303
0,2019-01-22,725
1,2019-01-22,493
0,2019-01-23,343
1,2019-01-23,541
0,2019-01-24,44
1,2019-01-24,136
0,2019-01-25,58
1,2019-01-25,218
0,2019-01-26,539
1,2019-01-26,42
0,2019-01-27,920
1,2019-01-27,440
0,2019-01-28,64
1,2019-01-28,66
0,2019-01-29,335
1,2019-01-29,67
0,2019-01-30,813
1,2019-01-30,691
0,2019-01-31,568
1,2019-01-31,766
0,2019-02-01,873
1,2019-02-01,780
0,2019-02-02,383
1,2019-02-02,288
0,2019-02-03,391
1,2019-02-03,45
0,2019-02-04,891
1,2019-02-04,240
0,2019-02-05,794
1,2019-02-05,874
0,2019-02-06,250
1,2019-02-06,961
0,2019-02-07,770
1,2019-02-07,618
0,2019-02-08,283
1,2019-02-08,562
0,2019-02-09,378
1,2019-02-09,291
0,2019-02-10,703
1,2019-02-10,533
0,2019-02-11,696
1,2019-02-11,108
0,2019-02-12,491
1,2019-02-12,62
0,2019-02-13,854
1,2019-02-13,134
0,2019-02-14,170
1,2019-02-14,963
0,2019-02-15,778
1,2019-02-15,499
0,2019-02-16,651
1,2019-02-16,301
0,2019-02-17,252
1,2019-02-17,40
0,2019-02-18,840
1,2019-02-18,581
0,2019-02-19,768
1,2019-02-19,193
0,2019-02-20,689
1,2019-02-20,568
0,2019-02-21,924
1,2019-02-21,155
0,2019-02-22,885
1,2019-02-22,507
0,2019-02-23,582
1,2019-02-23,853
0,2019-02-24,363
1,2019-02-24,27
0,2019-02-25,419
1,2019-02-25,821
0,2019-02-26,591
1,2019-02-26,603
0,2019-02-27,48
1,2019-02-27,691
0,2019-02-28,414
1,2019-02-28,274
0,2019-03-01,250
1,2019-03-01,11
0,2019-03-02,555
1,2019-03-02,755
0,2019-03-03,471
1,2019-03-03,205
0,2019-03-04,252
1,2019-03-04,980
0,2019-03-05,202
1,2019-03-05,335
0,2019-03-06,289
1,2019-03-06,289
0,2019-03-07,378
1,2019-03-07,221
0,2019-03-08,401
1,2019-03-08,715
0,2019-03-09,989
1,2019-03-09,103
0,2019-03-10,193
1,2019-03-10,312
0,2019-03-11,741
1,2019-03-11,439
0,2019-03-12,112
1,2019-03-12,570
0,2019-03-13,525
1,2019-03-13,520
0,2019-03-14,119
1,2019-03-14,830
0,2019-03-15,899
1,2019-03-15,736
0,2019-03-16,48
1,2019-03-16,276
0,2019-03-17,225
1,2019-03-17,747
0,2019-03-18,771
1,2019-03-18,866
0,2019-03-19,594
1,2019-03-19,714
0,2019-03-20,347
1,2019-03-20,448
0,2019-03-21,205
1,2019-03-21,747
0,2019-03-22,116
1,2019-03-22,39
0,2019-03-23,366
1,2019-03-23,637
0,2019-03-24,988
1,2019-03-24,748
0,2019-03-25,592
1,2019-03-25,531
0,2019-03-26,884
1,2019-03-26,81
0,2019-03-27,888
