Day_Draw,Date,Pick3
TUE - MID,2019-01-01,444
TUE - EVE,2019-01-01,485
WED - MID,2019-01-02,103
WED - EVE,2019-01-02,485
THU - MID,2019-01-03,309
THU - EVE,2019-01-03,644
FRI - MID,2019-01-04,178
FRI - EVE,2019-01-04,188
SAT - MID,2019-01-05,922
SAT - EVE,2019-01-05,728
SUN - MID,2019-01-06,862
SUN - EVE,2019-01-06,916
MON - MID,2019-01-07,952
MON - EVE,2019-01-07,312
TUE - MID,2019-01-08,401
TUE - EVE,2019-01-08,844
WED - MID,2019-01-09,64
WED - EVE,2019-01-09,451
THU - MID,2019-01-10,48
THU - EVE,2019-01-10,94
FRI - MID,2019-01-11,61
FRI - EVE,2019-01-11,305
SAT - MID,2019-01-12,374
SAT - EVE,2019-01-12,940
SUN - MID,2019-01-13,827
SUN - EVE,2019-01-13,109
MON - MID,2019-01-14,220
MON - EVE,2019-01-14,650
TUE - MID,2019-01-15,906
TUE - EVE,2019-01-15,389
WED - MID,2019-01-16,793
WED - EVE,2019-01-16,560
THU - MID,2019-01-17,202
THU - EVE,2019-01-17,809
FRI - MID,2019-01-18,693
FRI - EVE,2019-01-18,123
SAT - MID,2019-01-19,858
SAT - EVE,2019-01-19,752
SUN - MID,2019-01-20,79
SUN - EVE,2019-01-20,646
MON - MID,2019-01-21,925
MON - EVE,2019-01-21,303
TUE - MID,2019-01-22,725
TUE - EVE,2019-01-22,493
WED - MID,2019-01-23,343
WED - EVE,2019-01-23,541
THU - MID,2019-01-24,44
THU - EVE,2019-01-24,136
FRI - MID,2019-01-25,58
FRI - EVE,2019-01-25,218
SAT - MID,2019-01-26,539
SAT - EVE,2019-01-26,42
SUN - MID,2019-01-27,920
SUN - EVE,2019-01-27,440
MON - MID,2019-01-28,64
MON - EVE,2019-01-28,66
TUE - MID,2019-01-29,335
TUE - EVE,2019-01-29,67
WED - MID,2019-01-30,813
WED - EVE,2019-01-30,691
THU - MID,2019-01-31,568
THU - EVE,2019-01-31,766
FRI - MID,2019-02-01,873
FRI - EVE,2019-02-01,780
SAT - MID,2019-02-02,383
SAT - EVE,2019-02-02,288
SUN - MID,2019-02-03,391
SUN - EVE,2019-02-03,45
MON - MID,2019-02-04,891
MON - EVE,2019-02-04,240
TUE - MID,2019-02-05,794
TUE - EVE,2019-02-05,874
WED - MID,2019-02-06,250
WED - EVE,2019-02-06,961
THU - MID,2019-02-07,770
THU - EVE,2019-02-07,618
FRI - MID,2019-02-08,283
FRI - EVE,2019-02-08,562
SAT - MID,2019-02-09,378
SAT - EVE,2019-02-09,291
SUN - MID,2019-02-10,703
SUN - EVE,2019-02-10,533
MON - MID,2019-02-11,696
MON - EVE,2019-02-11,108
TUE - MID,2019-02-12,491
TUE - EVE,2019-02-12,62
WED - MID,2019-02-13,854
WED - EVE,2019-02-13,134
THU - MID,2019-02-14,170
THU - EVE,2019-02-14,963
FRI - MID,2019-02-15,778
FRI - EVE,2019-02-15,499
SAT - MID,2019-02-16,651
SAT - EVE,2019-02-16,301
SUN - MID,2019-02-17,252
SUN - EVE,2019-02-17,40
MON - MID,2019-02-18,840
MON - EVE,2019-02-18,581
TUE - MID,2019-02-19,768
TUE - EVE,2019-02-19,193
WED - MID,2019-02-20,689
WED - EVE,2019-02-20,568
THU - MID,2019-02-21,924
THU - EVE,2019-02-21,155
FRI - MID,2019-02-22,885
FRI - EVE,2019-02-22,507
SAT - MID,2019-02-23,582
SAT - EVE,2019-02-23,853
SUN - MID,2019-02-24,363
SUN - EVE,2019-02-24,27
MON - MID,2019-02-25,419
MON - EVE,2019-02-25,821
TUE - MID,2019-02-26,591
TUE - EVE,2019-02-26,603
WED - MID,2019-02-27,48
WED - EVE,2019-02-27,691
THU - MID,2019-02-28,414
THU - EVE,2019-02-28,274
FRI - MID,2019-03-01,250
FRI - EVE,2019-03-01,11
SAT - MID,2019-03-02,555
SAT - EVE,2019-03-02,755
SUN - MID,2019-03-03,471
SUN - EVE,2019-03-03,205
MON - MID,2019-03-04,252
MON - EVE,2019-03-04,980
TUE - MID,2019-03-05,202
TUE - EVE,2019-03-05,335
WED - MID,2019-03-06,289
WED - EVE,2019-03-06,289
THU - MID,2019-03-07,378
THU - EVE,2019-03-07,221
FRI - MID,2019-03-08,401
FRI - EVE,2019-03-08,715
SAT - MID,2019-03-09,989
SAT - EVE,2019-03-09,103
SUN - MID,2019-03-10,193
SUN - EVE,2019-03-10,312
MON - MID,2019-03-11,741
MON - EVE,2019-03-11,439
TUE - MID,2019-03-12,112
TUE - EVE,2019-03-12,570
WED - MID,2019-03-13,525
WED - EVE,2019-03-13,520
THU - MID,2019-03-14,119
THU - EVE,2019-03-14,830
FRI - MID,2019-03-15,899
FRI - EVE,2019-03-15,736
SAT - MID,2019-03-16,48
SAT - EVE,2019-03-16,276
SUN - MID,2019-03-17,225
SUN - EVE,2019-03-17,747
MON - MID,2019-03-18,771
MON - EVE,2019-03-18,866
TUE - MID,2019-03-19,594
TUE - EVE,2019-03-19,714
WED - MID,2019-03-20,347
WED - EVE,2019-03-20,448
THU - MID,2019-03-21,205
THU - EVE,2019-03-21,747
FRI - MID,2019-03-22,116
FRI - EVE,2019-03-22,39
SAT - MID,2019-03-23,366
SAT - EVE,2019-03-23,637
SUN - MID,2019-03-24,988
SUN - EVE,2019-03-24,748
MON - MID,2019-03-25,592
MON - EVE,2019-03-25,531
TUE - MID,2019-03-26,884
TUE - EVE,2019-03-26,81
WED - MID,2019-03-27,888
WED - EVE,2019-03-27,57
THU - MID,2019-03-28,493
THU - EVE,2019-03-28,113
FRI - MID,2019-03-29,809
FRI - EVE,2019-03-29,207
SAT - MID,2019-03-30,283
SAT - EVE,2019-03-30,574
SUN - MID,2019-03-31,397
SUN - EVE,2019-03-31,190
MON - MID,2019-04-01,575
MON - EVE,2019-04-01,674
TUE - MID,2019-04-02,345
TUE - EVE,2019-04-02,471
WED - MID,2019-04-03,511
WED - EVE,2019-04-03,902
THU - MID,2019-04-04,656
THU - EVE,2019-04-04,603
FRI - MID,2019-04-05,935
FRI - EVE,2019-04-05,213
SAT - MID,2019-04-06,578
SAT - EVE,2019-04-06,912
SUN - MID,2019-04-07,943
SUN - EVE,2019-04-07,64
MON - MID,2019-04-08,90
MON - EVE,2019-04-08,322
TUE - MID,2019-04-09,95
TUE - EVE,2019-04-09,765
WED - MID,2019-04-10,983
WED - EVE,2019-04-10,423
THU - MID,2019-04-11,807
THU - EVE,2019-04-11,176
FRI - MID,2019-04-12,130
FRI - EVE,2019-04-12,547
SAT - MID,2019-04-13,86
SAT - EVE,2019-04-13,554
SUN - MID,2019-04-14,683
SUN - EVE,2019-04-14,888
MON - MID,2019-04-15,508
MON - EVE,2019-04-15,583
TUE - MID,2019-04-16,587
TUE - EVE,2019-04-16,722
WED - MID,2019-04-17,560
WED - EVE,2019-04-17,575
THU - MID,2019-04-18,904
THU - EVE,2019-04-18,161
FRI - MID,2019-04-19,586
FRI - EVE,2019-04-19,290
SAT - MID,2019-04-20,923
SAT - EVE,2019-04-20,193
SUN - MID,2019-04-21,261
SUN - EVE,2019-04-21,557
MON - MID,2019-04-22,742
MON - EVE,2019-04-22,99
TUE - MID,2019-04-23,965
TUE - EVE,2019-04-23,137
WED - MID,2019-04-24,307
WED - EVE,2019-04-24,584
THU - MID,2019-04-25,394
THU - EVE,2019-04-25,530
FRI - MID,2019-04-26,593
FRI - EVE,2019-04-26,32
SAT - MID,2019-04-27,568
SAT - EVE,2019-04-27,8
SUN - MID,2019-04-28,508
SUN - EVE,2019-04-28,813
MON - MID,2019-04-29,167
MON - EVE,2019-04-29,358
TUE - MID,2019-04-30,507
TUE - EVE,2019-04-30,885
WED - MID,2019-05-01,358
WED - EVE,2019-05-01,604
THU - MID,2019-05-02,162
THU - EVE,2019-05-02,868
FRI - MID,2019-05-03,56
FRI - EVE,2019-05-03,417
SAT - MID,2019-05-04,161
SAT - EVE,2019-05-04,247
SUN - MID,2019-05-05,510
SUN - EVE,2019-05-05,804
MON - MID,2019-05-06,551
MON - EVE,2019-05-06,889
TUE - MID,2019-05-07,235
TUE - EVE,2019-05-07,331
WED - MID,2019-05-08,403
WED - EVE,2019-05-08,7
THU - MID,2019-05-09,970
THU - EVE,2019-05-09,720
FRI - MID,2019-05-10,95
FRI - EVE,2019-05-10,235
SAT - MID,2019-05-11,420
SAT - EVE,2019-05-11,934
SUN - MID,2019-05-12,28
SUN - EVE,2019-05-12,224
MON - MID,2019-05-13,891
MON - EVE,2019-05-13,125
TUE - MID,2019-05-14,155
TUE - EVE,2019-05-14,48
WED - MID,2019-05-15,586
WED - EVE,2019-05-15,790
THU - MID,2019-05-16,977
THU - EVE,2019-05-16,52
FRI - MID,2019-05-17,38
FRI - EVE,2019-05-17,972
SAT - MID,2019-05-18,224
SAT - EVE,2019-05-18,231
SUN - MID,2019-05-19,178
SUN - EVE,2019-05-19,695
MON - MID,2019-05-20,893
MON - EVE,2019-05-20,731
TUE - MID,2019-05-21,735
TUE - EVE,2019-05-21,987
WED - MID,2019-05-22,920
WED - EVE,2019-05-22,290
THU - MID,2019-05-23,854
THU - EVE,2019-05-23,445
FRI - MID,2019-05-24,969
FRI - EVE,2019-05-24,333
SAT - MID,2019-05-25,265
SAT - EVE,2019-05-25,731
SUN - MID,2019-05-26,744
SUN - EVE,2019-05-26,825
MON - MID,2019-05-27,366
MON - EVE,2019-05-27,775
TUE - MID,2019-05-28,834
TUE - EVE,2019-05-28,343
WED - MID,2019-05-29,626
WED - EVE,2019-05-29,322
THU - MID,2019-05-30,31
THU - EVE,2019-05-30,958
FRI - MID,2019-05-31,866
FRI - EVE,2019-05-31,286
SAT - MID,2019-06-01,793
SAT - EVE,2019-06-01,713
SUN - MID,2019-06-02,335
SUN - EVE,2019-06-02,310
MON - MID,2019-06-03,131
MON - EVE,2019-06-03,75
TUE - MID,2019-06-04,446
TUE - EVE,2019-06-04,706
WED - MID,2019-06-05,96
WED - EVE,2019-06-05,497
THU - MID,2019-06-06,343
THU - EVE,2019-06-06,96
FRI - MID,2019-06-07,92
FRI - EVE,2019-06-07,274
SAT - MID,2019-06-08,339
SAT - EVE,2019-06-08,180
SUN - MID,2019-06-09,221
SUN - EVE,2019-06-09,505
MON - MID,2019-06-10,6
MON - EVE,2019-06-10,721
TUE - MID,2019-06-11,22
TUE - EVE,2019-06-11,934
WED - MID,2019-06-12,737
WED - EVE,2019-06-12,150
