Day_Draw,Date,Pick3
WED - MID,2020-01-01,342
WED - EVE,2020-01-01,933
THU - MID,2020-01-02,537
THU - EVE,2020-01-02,357
FRI - MID,2020-01-03,346
FRI - EVE,2020-01-03,163
SAT - MID,2020-01-04,183
SAT - EVE,2020-01-04,69
SUN - MID,2020-01-05,781
SUN - EVE,2020-01-05,573
MON - MID,2020-01-06,645
MON - EVE,2020-01-06,368
TUE - MID,2020-01-07,168
TUE - EVE,2020-01-07,890
WED - MID,2020-01-08,581
WED - EVE,2020-01-08,238
THU - MID,2020-01-09,768
THU - EVE,2020-01-09,779
FRI - MID,2020-01-10,21
FRI - EVE,2020-01-10,163
SAT - MID,2020-01-11,742
SAT - EVE,2020-01-11,139
SUN - MID,2020-01-12,155
SUN - EVE,2020-01-12,24
MON - MID,2020-01-13,657
MON - EVE,2020-01-13,106
TUE - MID,2020-01-14,707
TUE - EVE,2020-01-14,555
WED - MID,2020-01-15,89
WED - EVE,2020-01-15,989
THU - MID,2020-01-16,214
THU - EVE,2020-01-16,911
FRI - MID,2020-01-17,592
FRI - EVE,2020-01-17,100
SAT - MID,2020-01-18,612
SAT - EVE,2020-01-18,268
SUN - MID,2020-01-19,793
SUN - EVE,2020-01-19,35
MON - MID,2020-01-20,317
MON - EVE,2020-01-20,639
TUE - MID,2020-01-21,89
TUE - EVE,2020-01-21,786
WED - MID,2020-01-22,600
WED - EVE,2020-01-22,690
THU - MID,2020-01-23,765
THU - EVE,2020-01-23,412
FRI - MID,2020-01-24,526
FRI - EVE,2020-01-24,357
SAT - MID,2020-01-25,87
SAT - EVE,2020-01-25,922
SUN - MID,2020-01-26,157
SUN - EVE,2020-01-26,511
MON - MID,2020-01-27,19
MON - EVE,2020-01-27,976
TUE - MID,2020-01-28,689
TUE - EVE,2020-01-28,692
WED - MID,2020-01-29,403
WED - EVE,2020-01-29,927
THU - MID,2020-01-30,477
THU - EVE,2020-01-30,881
FRI - MID,2020-01-31,405
FRI - EVE,2020-01-31,44
SAT - MID,2020-02-01,911
SAT - EVE,2020-02-01,49
SUN - MID,2020-02-02,698
SUN - EVE,2020-02-02,780
MON - MID,2020-02-03,743
MON - EVE,2020-02-03,575
TUE - MID,2020-02-04,125
TUE - EVE,2020-02-04,249
WED - MID,2020-02-05,206
WED - EVE,2020-02-05,677
THU - MID,2020-02-06,701
THU - EVE,2020-02-06,862
FRI - MID,2020-02-07,916
FRI - EVE,2020-02-07,220
SAT - MID,2020-02-08,977
SAT - EVE,2020-02-08,733
SUN - MID,2020-02-09,62
SUN - EVE,2020-02-09,346
MON - MID,2020-02-10,893
MON - EVE,2020-02-10,562
TUE - MID,2020-02-11,262
TUE - EVE,2020-02-11,472
