Day - Draw, Date, Pick 3, Pick 4
SUN - MID, 1/1/2012,991,979
SUN - EVE, 1/1/2012,441,7036
MON - MID, 1/2/2012,516,1507
MON - EVE, 1/2/2012,629,452
TUE - MID, 1/3/2012,188,1857
TUE - EVE, 1/3/2012,212,9676
WED - MID, 1/4/2012,845,1985
WED - EVE, 1/4/2012,349,4649
THU - MID, 1/5/2012,219,6062
THU - EVE, 1/5/2012,444,9039
FRI - MID, 1/6/2012,345,4654
FRI - EVE, 1/6/2012,13,7622
SAT - MID, 1/7/2012,519,7717
SAT - EVE, 1/7/2012,346,753
SUN - MID, 1/8/2012,503,598
SUN - EVE, 1/8/2012,938,3705
MON - MID, 1/9/2012,10,3799
MON - EVE, 1/9/2012,109,3606
TUE - MID, 1/10/2012,994,7084
TUE - EVE, 1/10/2012,123,8013
WED - MID, 1/11/2012,514,6316
WED - EVE, 1/11/2012,875,4067
THU - MID, 1/12/2012,275,6257
THU - EVE, 1/12/2012,609,7248
FRI - MID, 1/13/2012,526,6160
FRI - EVE, 1/13/2012,562,369
SAT - MID, 1/14/2012,292,6200
SAT - EVE, 1/14/2012,984,8361
SUN - MID, 1/15/2012,337,6777
SUN - EVE, 1/15/2012,945,7672
MON - MID, 1/16/2012,309,1635
MON - EVE, 1/16/2012,622,6509
TUE - MID, 1/17/2012,560,5259
TUE - EVE, 1/17/2012,176,7265
WED - MID, 1/18/2012,352,7655
WED - EVE, 1/18/2012,126,3817
THU - MID, 1/19/2012,697,4548
THU - EVE, 1/19/2012,743,8346
FRI - MID, 1/20/2012,580,2067
FRI - EVE, 1/20/2012,588,8762
SAT - MID, 1/21/2012,293,2505
SAT - EVE, 1/21/2012,680,5329
SUN - MID, 1/22/2012,126,9818
SUN - EVE, 1/22/2012,26,1385
MON - MID, 1/23/2012,485,4436
MON - EVE, 1/23/2012,904,4727
TUE - MID, 1/24/2012,576,5910
TUE - EVE, 1/24/2012,12,4262
WED - MID, 1/25/2012,881,3481
WED - EVE, 1/25/2012,690,7140
THU - MID, 1/26/2012,30,1984
THU - EVE, 1/26/2012,196,3556
FRI - MID, 1/27/2012,610,6281
FRI - EVE, 1/27/2012,298,6234
SAT - MID, 1/28/2012,776,5556
SAT - EVE, 1/28/2012,533,5414
SUN - MID, 1/29/2012,202,5195
SUN - EVE, 1/29/2012,532,54
MON - MID, 1/30/2012,235,2297
MON - EVE, 1/30/2012,105,524
TUE - MID, 1/31/2012,862,5199
TUE - EVE, 1/31/2012,2,4253
WED - MID, 2/1/2012,18,1227
WED - EVE, 2/1/2012,140,2337
THU - MID, 2/2/2012,23,8488
THU - EVE, 2/2/2012,113,991
FRI - MID, 2/3/2012,333,8580
FRI - EVE, 2/3/2012,141,7861
SAT - MID, 2/4/2012,163,2188
SAT - EVE, 2/4/2012,442,6398
SUN - MID, 2/5/2012,779,6623
SUN - EVE, 2/5/2012,86,4141
MON - MID, 2/6/2012,930,8012
MON - EVE, 2/6/2012,733,9824
TUE - MID, 2/7/2012,460,7602
TUE - EVE, 2/7/2012,487,7499
WED - MID, 2/8/2012,294,3827
WED - EVE, 2/8/2012,451,6434
THU - MID, 2/9/2012,540,1726
THU - EVE, 2/9/2012,865,9923
FRI - MID, 2/10/2012,375,436
