Date,Powerball,Date_Time,Date_Str,Date_Delta,PBstr
 1/1/2019, ,2019-01-01,20190101,0.0,00000 
 1/1/2019, ,2019-01-01,20190101,0.0,00000 
 1/10/2019, ,2019-01-10,20190110,9.0,00000 
 1/10/2019, ,2019-01-10,20190110,9.0,00000 
 1/11/2019, ,2019-01-11,20190111,10.0,00000 
 1/11/2019, ,2019-01-11,20190111,10.0,00000 
 1/12/2019, 7 36 48 57 58 +24 x2 $96.00 M/0,2019-01-12,20190112,11.0, 7 36 48 57 58 +24 x2 $96.00 M/0
 1/12/2019, ,2019-01-12,20190112,11.0,00000 
 1/13/2019, ,2019-01-13,20190113,12.0,00000 
 1/13/2019, ,2019-01-13,20190113,12.0,00000 
 1/14/2019, ,2019-01-14,20190114,13.0,00000 
 1/14/2019, ,2019-01-14,20190114,13.0,00000 
 1/15/2019, ,2019-01-15,20190115,14.0,00000 
 1/15/2019, ,2019-01-15,20190115,14.0,00000 
 1/16/2019, ,2019-01-16,20190116,15.0,00000 
 1/16/2019, 14 29 31 56 61 +1 x2 $112.00 M/0,2019-01-16,20190116,15.0, 14 29 31 56 61 +1 x2 $112.00 M/0
 1/17/2019, ,2019-01-17,20190117,16.0,00000 
 1/17/2019, ,2019-01-17,20190117,16.0,00000 
 1/18/2019, ,2019-01-18,20190118,17.0,00000 
 1/18/2019, ,2019-01-18,20190118,17.0,00000 
 1/19/2019, 5 8 41 65 66 +20 x3 $129.00 M/0,2019-01-19,20190119,18.0, 5 8 41 65 66 +20 x3 $129.00 M/0
 1/19/2019, ,2019-01-19,20190119,18.0,00000 
 1/2/2019, ,2019-01-02,20190102,1.0,00000 
 1/2/2019, 8 12 42 46 56 +12 x2 $53.00 M/0,2019-01-02,20190102,1.0, 8 12 42 46 56 +12 x2 $53.00 M/0
 1/20/2019, ,2019-01-20,20190120,19.0,00000 
 1/20/2019, ,2019-01-20,20190120,19.0,00000 
 1/21/2019, ,2019-01-21,20190121,20.0,00000 
 1/21/2019, ,2019-01-21,20190121,20.0,00000 
 1/22/2019, ,2019-01-22,20190122,21.0,00000 
 1/22/2019, ,2019-01-22,20190122,21.0,00000 
 1/23/2019, ,2019-01-23,20190123,22.0,00000 
 1/23/2019, 23 25 47 48 50 +24 x3 $144.00 M/0,2019-01-23,20190123,22.0, 23 25 47 48 50 +24 x3 $144.00 M/0
 1/24/2019, ,2019-01-24,20190124,23.0,00000 
 1/24/2019, ,2019-01-24,20190124,23.0,00000 
 1/25/2019, ,2019-01-25,20190125,24.0,00000 
 1/25/2019, ,2019-01-25,20190125,24.0,00000 
 1/26/2019, 8 12 20 21 32 +10 x4 $161.00 M/0,2019-01-26,20190126,25.0, 8 12 20 21 32 +10 x4 $161.00 M/0
 1/26/2019, ,2019-01-26,20190126,25.0,00000 
 1/27/2019, ,2019-01-27,20190127,26.0,00000 
 1/27/2019, ,2019-01-27,20190127,26.0,00000 
 1/28/2019, ,2019-01-28,20190128,27.0,00000 
 1/28/2019, ,2019-01-28,20190128,27.0,00000 
 1/29/2019, ,2019-01-29,20190129,28.0,00000 
 1/29/2019, ,2019-01-29,20190129,28.0,00000 
 1/3/2019, ,2019-01-03,20190103,2.0,00000 
 1/3/2019, ,2019-01-03,20190103,2.0,00000 
 1/30/2019, 2 12 16 29 54 +6 x2 $174.00 M/0,2019-01-30,20190130,29.0, 2 12 16 29 54 +6 x2 $174.00 M/0
 1/30/2019, ,2019-01-30,20190130,29.0,00000 
 1/31/2019, ,2019-01-31,20190131,30.0,00000 
 1/31/2019, ,2019-01-31,20190131,30.0,00000 
 1/4/2019, ,2019-01-04,20190104,3.0,00000 
 1/4/2019, ,2019-01-04,20190104,3.0,00000 
 1/5/2019, 3 7 15 27 69 +19 x2 $69.00 M/0,2019-01-05,20190105,4.0, 3 7 15 27 69 +19 x2 $69.00 M/0
